Date,Body fat(%),Sleep(hours),Heart rate(bpm),Weight(lbs)
9/30/2019,,,61,
10/1/2019,,,51,
10/2/2019,,,104,
10/3/2019,,,54,
10/4/2019,,,,
10/5/2019,,,,
10/6/2019,,,,
10/7/2019,,,66,
10/8/2019,,,52,
10/9/2019,,,,
10/10/2019,,,,
10/11/2019,,,,
10/12/2019,,,,
10/13/2019,,,,
10/14/2019,,,,
10/15/2019,,,,
10/16/2019,,,,
10/17/2019,,,,
10/18/2019,,,,
10/19/2019,,,,
10/20/2019,,,,
10/21/2019,,,,
10/22/2019,,,,
10/23/2019,,,61,
10/24/2019,,,,
10/25/2019,,,,
10/26/2019,,,,
10/27/2019,,,,
10/28/2019,,,,
10/29/2019,,,,
10/30/2019,,,,
10/31/2019,,,,
11/1/2019,,,,
11/2/2019,,,,
11/3/2019,,,,
11/4/2019,,,,
11/5/2019,,,,
11/6/2019,,,,
11/7/2019,,,,
11/8/2019,,,,
11/9/2019,,,,
11/10/2019,,,,
11/11/2019,,,,
11/12/2019,,,,
11/13/2019,,,,
11/14/2019,,,,
11/15/2019,,,,
11/16/2019,,,,
11/17/2019,,,,
11/18/2019,,,,
11/19/2019,,,,
11/20/2019,,,,
11/21/2019,,,,
11/22/2019,,,,
11/23/2019,,,,
11/24/2019,,,,
11/25/2019,,,,
11/26/2019,,,,
11/27/2019,,,,
11/28/2019,,,,
11/29/2019,,,,
11/30/2019,,,,
12/1/2019,,,,
12/2/2019,,,,
12/3/2019,,,,
12/4/2019,,,,
12/5/2019,,,,
12/6/2019,,,,
12/7/2019,,,,
12/8/2019,,,,
12/9/2019,,,,
12/10/2019,,,,
12/11/2019,,,,
12/12/2019,,,,
12/13/2019,,,,
12/14/2019,,,,
12/15/2019,,,,
12/16/2019,,,,
12/17/2019,,,59,
12/18/2019,,,60,
12/19/2019,,,118,
12/20/2019,,,,
12/21/2019,,,,
12/22/2019,,,,
12/23/2019,,,,
12/24/2019,,,,
12/25/2019,,,,
12/26/2019,,,,
12/27/2019,,,,
12/28/2019,,,,
12/29/2019,,,,
12/30/2019,,,58,
12/31/2019,,,102,
1/1/2020,,,69,
1/2/2020,,,62,
1/3/2020,,,115,
1/4/2020,,,91,165
1/5/2020,14.6191,,72,172.842
1/5/2020,14.6191,,72,172.842
1/5/2020,14.6191,,72,168.874
1/5/2020,14.6191,,72,172.842
1/5/2020,14.6191,,72,172.842
1/5/2020,14.6191,,72,168.874
1/5/2020,14.166,,72,172.842
1/5/2020,14.166,,72,172.842
1/5/2020,14.166,,72,168.874
1/6/2020,13.9701,,111,167.221
1/6/2020,13.9701,,111,167.221
1/6/2020,13.9701,,111,167.221
1/6/2020,13.9701,,111,167.221
1/7/2020,13.8082,,55,165.677
1/8/2020,13.8082,,64,165.677
1/9/2020,13.6177,,109,164.134
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/10/2020,13.6122,,137,164.024
1/11/2020,,,110,
1/12/2020,,,55,
1/13/2020,,,59,
1/14/2020,13.702,,93,164.685
1/15/2020,13.702,,68,164.685
1/16/2020,13.4558,,81,162.591
1/17/2020,13.6068,,56,163.914
1/18/2020,,,66,
1/19/2020,,,83,
1/20/2020,,,94,
1/21/2020,,,139,
1/22/2020,13.8027,,93,165.567
1/23/2020,13.6177,,90,164.134
1/24/2020,13.7633,,84,165.347
1/25/2020,,,71,163
1/26/2020,,,79,
1/27/2020,,,81,
1/28/2020,13.7075,,90,164.796
1/29/2020,13.9034,,81,166.449
1/30/2020,13.6626,,61,164.465
1/31/2020,14.1714,,63,168.984
2/1/2020,,,90,
2/2/2020,,,126,164
2/3/2020,,,66,
2/4/2020,13.5619,,86,163.583
2/5/2020,13.6517,,54,164.244
2/6/2020,13.4163,,74,162.37
2/7/2020,13.4,,63,162.04
2/8/2020,13.6177,,75,164.134
2/9/2020,,,54,
2/10/2020,13.517,,100,163.252
2/11/2020,13.6122,,81,164.024
2/12/2020,,,60,
2/13/2020,13.4163,,75,162.37
2/14/2020,,,60,
2/15/2020,,,66,163
2/16/2020,,,81,
2/17/2020,,,90,
2/18/2020,13.8027,,75,165.567
2/19/2020,13.551,,67,163.363
2/20/2020,,,87,
2/21/2020,,,62,
2/22/2020,,,72,163
2/23/2020,,,69,
2/24/2020,,,112,
2/25/2020,13.3551,,,161.709
2/26/2020,13.4721,,,162.922
2/27/2020,13.5061,,,163.032
2/28/2020,13.5565,,72,163.473
2/29/2020,,,72,
3/1/2020,,,66,163.8
3/2/2020,,,133,
3/3/2020,13.6231,,85,164.244
3/4/2020,13.6122,,102,164.024
3/5/2020,13.4558,,115,162.591
3/6/2020,,,51,163
3/7/2020,,,84,163
3/8/2020,,,,
3/9/2020,,,58,
3/10/2020,14.0095,,58,167.441
3/11/2020,13.7578,,110,165.236
3/12/2020,13.7633,,65,165.347
3/13/2020,13.8694,,57,166.339
3/14/2020,,,76,
3/15/2020,,,60,163
3/16/2020,,,54,164
3/17/2020,13.6571,,60,164.355
3/18/2020,,,61,
3/19/2020,,,60,
3/20/2020,,,55,
3/21/2020,,,55,
3/22/2020,,,59,
3/23/2020,,,68,
3/24/2020,,,55,
3/25/2020,,,89,
3/26/2020,,,63,
3/27/2020,,,54,
3/28/2020,,,85,164
3/29/2020,,,61,
3/30/2020,,,54,
3/31/2020,,,69,
4/1/2020,,,56,
4/2/2020,,,54,
4/3/2020,,,,
4/4/2020,,,,164
4/5/2020,,,68,
4/6/2020,,,74,
4/7/2020,,,63,
4/8/2020,,,71,
4/9/2020,,,60,166
4/10/2020,,,60,
4/11/2020,,,53,166
4/12/2020,,,61,
4/13/2020,,,58,166
4/14/2020,,,63,
4/15/2020,,,57,
4/16/2020,,,52,
4/17/2020,,,56,165
4/18/2020,,,56,164
4/19/2020,,,62,
4/20/2020,,,61,
4/21/2020,,,56,
4/22/2020,,,58,
4/23/2020,,,55,166
4/24/2020,,,59,
4/25/2020,,,55,
4/26/2020,,,55,
4/27/2020,,,63,
4/28/2020,,,101,
4/29/2020,,,88,167
4/30/2020,,,63,
5/1/2020,,,111,167
5/2/2020,,,91,
5/3/2020,,,128,
5/4/2020,,,94,
5/5/2020,,,55,168
5/6/2020,,,61,
5/7/2020,,,55,166
5/8/2020,,,67,
5/9/2020,,,57,166
5/10/2020,,,60,165
5/11/2020,,,66,
5/12/2020,,,60,
5/13/2020,,,77,
5/14/2020,,,57,
5/15/2020,,,65,
5/16/2020,,,56,165
5/17/2020,,,58,
5/18/2020,,,58,165
5/19/2020,,,61,165
5/20/2020,,,61,
5/21/2020,,,60,
5/22/2020,,,60,
5/23/2020,,,54,
5/24/2020,,,49,
5/25/2020,,,53,
5/26/2020,,,58,
5/27/2020,,,59,
5/28/2020,,,60,
5/29/2020,,,59,
5/30/2020,,,51,166
5/31/2020,,,68,
6/1/2020,,,,
6/2/2020,,,59,
6/3/2020,,,55,165
6/4/2020,,,59,
6/5/2020,,,60,
6/6/2020,,,59,
6/7/2020,,,50,
6/8/2020,,,56,165
6/9/2020,,,58,
6/10/2020,,,53,165
6/11/2020,,,52,
6/12/2020,,,53,
6/13/2020,,,57,
6/14/2020,,,54,166
6/15/2020,,,49,
6/16/2020,,,52,
6/17/2020,,,61,166
6/18/2020,,,59,
6/19/2020,,,58,
6/20/2020,,,58,
6/21/2020,,,59,166
6/22/2020,,,64,
6/23/2020,,,53,
6/24/2020,,,66,
6/25/2020,,,54,
6/26/2020,,,60,
6/27/2020,,,51,
6/28/2020,,,51,
6/29/2020,,,50,
6/30/2020,,,54,
7/1/2020,,,60,
7/2/2020,,,57,
7/3/2020,,,68,
7/4/2020,,,50,
7/5/2020,,,66,
7/6/2020,,,56,163
7/7/2020,,,56,
7/8/2020,,,56,163
7/9/2020,13.9429,,60,166.669
7/9/2020,13.9429,,60,164.024
7/9/2020,13.6408,,60,166.669
7/9/2020,13.6408,,60,164.024
7/10/2020,,,55,
7/11/2020,13.5959,,54,163.693
7/12/2020,13.5347,,51,163.032
7/13/2020,13.6857,,52,164.355
7/14/2020,13.6014,,57,163.803
7/15/2020,13.6857,,70,164.355
7/16/2020,14.0993,,55,168.102
7/16/2020,14.0993,,55,164.465
7/16/2020,14.0993,,55,164.465
7/16/2020,14.0993,,55,164.465
7/16/2020,13.6912,,55,168.102
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,168.102
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,168.102
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/16/2020,13.6912,,55,164.465
7/17/2020,13.7864,,67,165.236
7/17/2020,13.7864,,67,165.236
7/17/2020,13.7864,,67,165.236
7/17/2020,13.7864,,67,165.236
7/18/2020,,,55,
7/19/2020,13.7469,,59,165.016
7/19/2020,13.7469,,59,165
7/20/2020,13.781,,79,165.126
7/20/2020,13.781,,79,165.126
7/20/2020,13.781,,79,165.126
7/20/2020,13.781,,79,165.126
7/21/2020,,,58,
7/22/2020,13.7864,,58,165.236
7/23/2020,,,57,
7/24/2020,,,69,
7/25/2020,13.8422,,52,165.788
7/26/2020,,,51,
7/27/2020,13.7361,,54,164.796
7/28/2020,13.9034,,55,166.449
7/28/2020,13.9034,,55,166.118
7/28/2020,13.8871,,55,166.449
7/28/2020,13.8871,,55,166.118
7/29/2020,13.9483,,51,166.78
7/30/2020,13.8422,,60,165.788
7/31/2020,13.5959,,60,163.693
8/1/2020,13.6912,,59,164.465
8/2/2020,,,60,
8/3/2020,13.7361,,53,164.796
8/4/2020,13.9878,,,167
8/4/2020,13.9878,,,165.236
8/4/2020,13.7864,,,167
8/4/2020,13.7864,,,165.236
8/5/2020,,,53,
8/6/2020,,,59,
8/7/2020,13.898,,53,166.339
8/7/2020,13.898,,53,165.788
8/7/2020,13.8422,,53,166.339
8/7/2020,13.8422,,53,165.788
8/8/2020,,,57,165
8/9/2020,,,56,
8/10/2020,13.8422,,57,165.788
8/11/2020,,,55,166
8/12/2020,13.781,,54,165.126
8/13/2020,,,53,
8/14/2020,13.6803,,59,164.244
8/15/2020,,,55,
8/16/2020,,,54,
8/17/2020,,,65,
8/18/2020,,,60,167
8/19/2020,13.8367,,50,165.677
8/20/2020,,,57,
8/21/2020,13.9483,,54,166.78
8/21/2020,13.9483,,54,166.669
8/21/2020,13.9429,,54,166.78
8/21/2020,13.9429,,54,166.669
8/22/2020,13.6857,,57,164.355
8/23/2020,,,56,
8/24/2020,13.5959,,60,163.693
8/25/2020,13.8816,,56,166.008
8/26/2020,,,54,
8/27/2020,,,57,
8/28/2020,13.898,,51,166.339
8/29/2020,13.702,,57,164.685
8/30/2020,,,58,
8/31/2020,,,53,
9/1/2020,13.7973,,56,165.457
9/2/2020,,,64,
9/3/2020,,,56,
9/4/2020,13.898,,71,166.339
9/5/2020,,,60,
9/6/2020,,,56,
9/7/2020,,,61,
9/8/2020,13.7306,,65,164.685
9/9/2020,,,54,
9/10/2020,,,78,
9/11/2020,13.7918,,56,165.347
9/12/2020,,,56,
9/13/2020,,,66,
9/14/2020,13.8313,,55,165.567
9/14/2020,13.8313,,55,165.567
9/14/2020,13.8027,,55,165.567
9/14/2020,13.8027,,55,165.567
9/15/2020,,,58,
9/16/2020,,,57,
9/17/2020,,,68,
9/18/2020,,,56,
9/19/2020,,,61,
9/20/2020,14.0884,,58,167.882
9/20/2020,14.0884,,58,164.465
9/20/2020,14.0884,,58,164.465
9/20/2020,14.0884,,58,164.465
9/20/2020,14.0884,,58,164.465
9/20/2020,13.6912,,58,167.882
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,167.882
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,167.882
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,167.882
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/20/2020,13.6912,,58,164.465
9/21/2020,,,68,
9/22/2020,13.9986,,54,167.221
9/22/2020,13.9986,,54,167.221
9/22/2020,13.9986,,54,167.221
9/22/2020,13.9986,,54,167.221
9/23/2020,14.0939,,63,167.992
9/24/2020,,,55,
9/25/2020,,,56,
9/26/2020,,,58,
9/27/2020,,,57,
9/28/2020,,,62,
9/29/2020,,,57,
9/30/2020,,,113,
10/1/2020,,,63,
10/2/2020,,,70,
10/3/2020,,,60,
10/4/2020,,,56,
10/5/2020,,,53,
10/6/2020,,,56,
10/7/2020,,,52,
10/8/2020,,,63,
10/9/2020,13.9823,,68,166.89
10/9/2020,13.9823,,68,166.89
10/9/2020,13.9823,,68,166.89
10/9/2020,13.9823,,68,166.89
10/10/2020,,,56,
10/11/2020,,,55,
10/12/2020,,,56,
10/13/2020,,,56,
10/14/2020,,,55,
10/15/2020,14.2952,,54,169.756
10/15/2020,14.2952,,54,169.095
10/15/2020,14.234,,54,169.756
10/15/2020,14.234,,54,169.095
10/16/2020,,,59,
10/17/2020,13.7306,,54,164.685
10/18/2020,13.8476,,55,165.898
10/18/2020,13.8476,,55,165.457
10/18/2020,13.7973,,55,165.898
10/18/2020,13.7973,,55,165.457
10/19/2020,13.8422,,54,165.788
10/20/2020,,,56,165.6
10/21/2020,,,53,
10/22/2020,14.083,,55,167.772
10/22/2020,14.083,,55,167.772
10/22/2020,14.083,,55,167.772
10/22/2020,14.083,,55,167.772
10/23/2020,,,54,
10/24/2020,,,60,
10/25/2020,,,54,
10/26/2020,,,56,
10/27/2020,,,85,
10/28/2020,,,63,
10/29/2020,,,63,
10/30/2020,,,62,
10/31/2020,,,55,
11/1/2020,14.0381,,72,167.441
11/2/2020,,,52,
11/3/2020,14.083,,74,167.772
11/4/2020,,,60,
11/5/2020,,,55,
11/6/2020,,,50,
11/7/2020,,,65,
11/8/2020,,,62,
11/9/2020,,,53,
11/10/2020,,,64,
11/11/2020,,,56,
11/12/2020,,,61,
11/13/2020,,,64,
11/14/2020,,,67,
11/15/2020,,,65,
11/16/2020,,,63,
11/17/2020,,,62,
11/18/2020,14.3007,,52,169.866
11/19/2020,,,56,
11/20/2020,,,65,
11/21/2020,,,66,
11/22/2020,,,59,
11/23/2020,,,70,
11/24/2020,,,56,
11/25/2020,,,68,
11/26/2020,,,52,
11/27/2020,,,55,
11/28/2020,,,75,
11/29/2020,,,65,
11/30/2020,14.4014,,68,170.748
12/1/2020,14.5918,,69,172.291
12/2/2020,14.3401,,69,170.087
12/3/2020,14.2898,,66,169.646
12/4/2020,14.2449,,64,169.315
12/4/2020,14.2449,,64,168.984
12/4/2020,14.2449,,64,168.984
12/4/2020,14.2,,64,169.315
12/4/2020,14.2,,64,168.984
12/4/2020,14.2,,64,168.984
12/5/2020,,,70,
12/6/2020,14.1946,,64,168.874
12/7/2020,,,68,
12/8/2020,,,72,
12/9/2020,14.3456,,113,170.197
12/10/2020,14.4571,,,171.299
12/11/2020,14.3401,,67,170.087
12/11/2020,14.3401,,67,170.087
12/11/2020,14.3401,,67,170.087
12/11/2020,14.3401,,67,170.087
12/12/2020,,,71,
12/13/2020,,,75,
12/14/2020,,,77,
12/15/2020,,,58,
12/16/2020,14.3007,,70,169.866
12/16/2020,14.3007,,70,169.866
12/16/2020,14.3007,,70,169.866
12/16/2020,14.3007,,70,169.866
12/17/2020,14.1388,,91,168.323
12/18/2020,13.9986,,73,167.221
12/19/2020,,,76,
12/20/2020,14.0327,,121,167.331
12/21/2020,,,96,
12/22/2020,,,58,
12/23/2020,,,75,
12/24/2020,,,54,
12/25/2020,,,67,
12/26/2020,,,68,
12/27/2020,,,115,
12/28/2020,,,79,
12/29/2020,,,76,
12/30/2020,,,62,
12/31/2020,,,94,
1/1/2021,,,81.486,
1/2/2021,,,59,
1/3/2021,,,63,
1/4/2021,13.9483,,69,166.8
1/5/2021,,,71,
1/6/2021,13.8871,,72,166.2
1/7/2021,,,70,
1/8/2021,,,75,
1/9/2021,,,75,
1/10/2021,13.9374,,71,166.6
1/11/2021,13.8816,,68,166
1/12/2021,,,84,
1/13/2021,,,61,
1/14/2021,,,69,
1/15/2021,,,76,
1/16/2021,,,68,
1/17/2021,,,57,
1/18/2021,,,75,
1/19/2021,14.049,,95,167.6
1/20/2021,,,55,
1/21/2021,,,60,
1/22/2021,,,59,
1/23/2021,,,61,
1/24/2021,,,67,
1/25/2021,,,66,
1/26/2021,14.1497,,81,168.6
1/27/2021,,,,
1/28/2021,,8,61,
1/29/2021,,7.65833,61,
1/30/2021,,,,
1/31/2021,,7.50833,58,
2/1/2021,,7.16667,58,
2/2/2021,,7.80833,56,
2/3/2021,,,,
2/4/2021,,6.8,56,
2/5/2021,,,,
2/6/2021,,,,
2/7/2021,,,,
2/8/2021,,,,
2/9/2021,,,,
2/10/2021,,6.84167,53,
2/11/2021,,5.24167,56,
2/12/2021,,,,
2/13/2021,,,,
2/14/2021,,,,
2/15/2021,,,,
2/16/2021,,7.15833,58,
2/17/2021,,6.46667,57,
2/18/2021,,6.3,55,
2/19/2021,,7.34167,62,
2/20/2021,,6.65833,58,
2/21/2021,,,,
2/22/2021,,7.19167,62,
2/23/2021,,7.09167,56,
2/24/2021,,7.28333,57,
2/25/2021,,7.5,56,
2/26/2021,,6.54167,59,
2/27/2021,,7.55,55,
2/28/2021,,7.68333,64,
3/1/2021,,7.65,57,
3/2/2021,,6.75833,54,
3/3/2021,,6.63333,59,
3/4/2021,,7.03333,59,
3/5/2021,,7.275,57,
3/6/2021,,7.45,56,
3/7/2021,,6.925,56,
3/8/2021,,7.05833,56,
3/9/2021,,7,59,
3/10/2021,,7.28333,57,
3/11/2021,,6.31667,55,
3/12/2021,,6.56667,59,
3/13/2021,,6.625,58,
3/14/2021,,6.78333,58,
3/15/2021,,7.16667,59,
3/16/2021,,6.50833,60,
3/17/2021,,6.88333,59,
3/18/2021,,7.275,58,
3/19/2021,,5.81667,61,
3/20/2021,,8.025,59,
3/21/2021,,6.45,60,
3/22/2021,,6.70833,58,
3/23/2021,,7.08333,54,
3/24/2021,,7.30833,56,
3/25/2021,,5.50833,57,
3/26/2021,,6.10833,59,
3/27/2021,,7.55833,56,
3/28/2021,,8.06667,57,
3/29/2021,,7.175,58,
3/30/2021,,6.825,58,
3/31/2021,,7.18333,61,
4/1/2021,,6.65,60,
